"id","name","shape","carat","color","clarity","cut","lab","certificate_number","original_price","size","growth_type","depth ","table ","video_url"," certificate_link","image_link"
"914","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.15","E","VS1","VERY GOOD","NON-CERT","NON-CERT","30.25","2.26*4.40*0.00","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926690021&zoomslide=1&z=1926690021&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"915","BAGUETTE Shape Antique Cut Diamond","BAGUETTE","0.15","E","VS1","VERY GOOD","NON-CERT","NON-CERT","30.25","2.20*4.39*1.50","HPHT","65.4","69","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926630462&zoomslide=1&z=1926630462&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"916","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.12","F","VVS2","VERY GOOD","NON-CERT","NON-CERT","23.51","2.40*4.15*1.73","HPHT","37.83","76","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925170084&zoomslide=1&z=1925170084&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"917","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","F","VVS2","VERY GOOD","NON-CERT","NON-CERT","21.55","2.40*4.16*1.65","HPHT","37.73","76","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925170066&zoomslide=1&z=1925170066&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"918","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.2","E","SI1","VERY GOOD","NON-CERT","NON-CERT","37","2.97*3.95*1.90","HPHT","0","0","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926660341&zoomslide=1&z=1926660341&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"919","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.12","D","VVS2","VERY GOOD","NON-CERT","NON-CERT","24.1","2.34*4.15*1.68","CVD","37.83","76","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924930158&zoomslide=1&z=1924930158&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"920","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","E","VVS2","VERY GOOD","NON-CERT","NON-CERT","22.1","2.31*4.05*1.66","HPHT","36.24","72","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925180029&zoomslide=1&z=1925180029&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"921","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","2.26","E","VS1","","IGI","594343945","7170.87","10.27 - 5.54 * 4.88","CVD","","","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAB91A-11","https://www.igi.org/reports/verify-your-report?r=594343945","https://mediassests.s3.amazonaws.com/V360/imaged/LAB91A-11/still.jpg"
"922","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.21","G","VS1","VERY GOOD","NON-CERT","NON-CERT","42.07","2.99*5.28*2.06","CVD","38.98","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924930142&zoomslide=1&z=1924930142&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"923","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","F","VS1","VERY GOOD","NON-CERT","NON-CERT","20.83","2.34*4.07*1.59","HPHT","37.83","76","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920400245&zoomslide=1&z=1920400245&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"924","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.34*4.08*1.66","HPHT","38.95","74","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925180232&zoomslide=1&z=1925180232&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"925","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.28*4.09*1.67","HPHT","38.9","71","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925190045&zoomslide=1&z=1925190045&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"926","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.36*4.09*1.60","HPHT","37.9","76","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925621995&zoomslide=1&z=1925621995&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"927","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.11","E","VS1","VERY GOOD","NON-CERT","NON-CERT","21.38","2.31*4.07*1.60","HPHT","38.98","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925180030&zoomslide=1&z=1925180030&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"928","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","D","VS1","VERY GOOD","NON-CERT","NON-CERT","19.44","2.32*4.09*1.60","HPHT","36.2","72","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925721069&zoomslide=1&z=1925721069&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"929","HALF MOON Shape Antique Cut Diamond","HALF MOON","0.1","E","VS1","EXCELLENT","NON-CERT","NON-CERT","19.44","2.34*4.09*1.60","HPHT","36.75","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920400266&zoomslide=1&z=1920400266&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
