"id","name","shape","carat","color","intensity","clarity","cut","size","original_price","growth_type","depth ","table ","certificate_number"," certificate_link","video_url","lmage_link","lab","sku"
"1","OVAL  Cut Diamond","OVAL","2.56","Brown","FANCY DEEP","SI1","","10.95 - 7.73 * 3.28","460.8","CVD","42.4","82","557219996","https://www.igi.org/reports/verify-your-report?r=557219996","http://view.gem360.in/gem360/2812221120-ADE12/gem360-2812221120-ADE12.html","","IGI","OVAL_Cut_Diamond_001"
"2","ROUND Cut Diamond","ROUND","1.51","Blue","FANCY INTENSE","VS1","VERY GOOD","7.20-7.21*4.56","284.39","CVD","63.2","59","623423450","https://www.igi.org/reports/verify-your-report?r=623423450","https://mglgd.com/Media/viewer3/Vision360.html?d=RB1114","","IGI","ROUND_Cut_Diamond_002"
"3","MARQUISE Cut Diamond","MARQUISE","0.56","Pink","FANCY DEEP","VS2","EXCELLENT","4.37*8.59*2.71","106.4","CVD","61.86","60","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370001&zoomslide=1&z=1926370001&ISCONFIRM=0","","NON-CERT","MARQUISE_Cut_Diamond_003"
"4","EMERALD Cut Diamond","EMERALD","0.51","Orange","FANCY DEEP","VS1","","3.74*5.46*2.42","97.39","CVD","64.7","66","624499488","https://www.igi.org/reports/verify-your-report?r=624499488","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410391&zoomslide=1&z=1924410391&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_004"
"5","OVAL Cut Diamond","OVAL","0.65","Orange","FANCY DEEP","VVS2","","4.93*7.15*2.96","124.8","CVD","60","61","624499486","https://www.igi.org/reports/verify-your-report?r=624499486","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290361&zoomslide=1&z=1924290361&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_005"
"6","MARQUISE Cut Diamond","MARQUISE","0.55","Pink","FANCY DEEP","VVS1","EXCELLENT","4.27*8.14*2.70","106.18","CVD","63.1","61","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370010&zoomslide=1&z=1926370010&ISCONFIRM=0","","NON-CERT","MARQUISE_Cut_Diamond_006"
"7","MARQUISE Cut Diamond","MARQUISE","0.73","Orange","FANCY DEEP","VVS1","","4.62*9.59*2.86","145.22","CVD","61.9","58","627431608","https://www.igi.org/reports/verify-your-report?r=627431608","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924260814&zoomslide=1&z=1924260814&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_007"
"8","RADIANT Cut Diamond","RADIANT","2.47","Blue","FANCY VIVID","SI2","","9.68 - 6.45 * 4.59","518.7","CVD","71.2","61","605390654","https://www.igi.org/reports/verify-your-report?r=605390654","https://workshop.360view.link/view/0311232-ADD2103","","IGI","RADIANT_Cut_Diamond_008"
"9","MARQUISE Cut Diamond","MARQUISE","0.62","Pink","FANCY VIVID","VS1","","4.39*9.36*2.62","130.81","CVD","59.7","61","631429902","https://www.igi.org/reports/verify-your-report?r=631429902","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060004&zoomslide=1&z=1926060004&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_009"
"10","OVAL Cut Diamond","OVAL","1.14","Yellow","FANCY","VS1","","8.64 - 5.89 * 3.61","245.1","CVD","61.3","60","595380224","https://www.igi.org/reports/verify-your-report?r=595380224","http://view.gem360.in/gem360/1109231214-ADKR01/gem360-1109231214-ADKR01.html","","IGI","OVAL_Cut_Diamond_010"
"11","OVAL Cut Diamond","OVAL","0.96","Blue","FANCY VIVID","VS2","","5.50*7.95*3.42","208.24","CVD","62.2","58","624499485","https://www.igi.org/reports/verify-your-report?r=624499485","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290627&zoomslide=1&z=1924290627&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_011"
"12","OVAL Cut Diamond","OVAL","1.03","Pink","FANCY DEEP","VS1","GOOD","5.92*8.20*3.47","226.37","CVD","58.59","62","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370006&zoomslide=1&z=1926370006&ISCONFIRM=0","","NON-CERT","OVAL_Cut_Diamond_012"
"13","EMERALD Cut Diamond","EMERALD","0.86","Blue","FANCY VIVID","VS1","","4.48*6.43*2.93","190.03","CVD","65.4","68","626457119","https://www.igi.org/reports/verify-your-report?r=626457119","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410833&zoomslide=1&z=1924410833&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_013"
"14","EMERALD Cut Diamond","EMERALD","0.81","Blue","FANCY VIVID","VS1","","4.40*6.37*2.86","178.98","CVD","65","67","626457118","https://www.igi.org/reports/verify-your-report?r=626457118","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410753&zoomslide=1&z=1924410753&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_014"
"15","EMERALD Cut Diamond","EMERALD","0.79","Blue","FANCY VIVID","VS1","","4.35*6.34*2.88","174.56","CVD","66.2","65","624499498","https://www.igi.org/reports/verify-your-report?r=624499498","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924920428&zoomslide=1&z=1924920428&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_015"
"16","EMERALD Cut Diamond","EMERALD","0.73","Blue","FANCY VIVID","VS1","","4.14*6.29*2.66","161.3","","64.3","65","631429897","https://www.igi.org/reports/verify-your-report?r=631429897","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470389&zoomslide=1&z=1920470389&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_016"
"17","MARQUISE Cut Diamond","MARQUISE","0.63","Pink","FANCY VIVID","VVS2","","4.37*9.18*2.66","139.86","CVD","60.9","60","639406101","https://www.igi.org/reports/verify-your-report?r=639406101","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060010&zoomslide=1&z=1926060010&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_017"
"18","PEAR Cut Diamond","PEAR","1.14","Blue","FANCY VIVID","VS1","","9.06 * 5.6 * 3.81","255.36","CVD","","","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=0907247-VMJM","","NON-CERT","PEAR_Cut_Diamond_018"
"19","EMERALD Cut Diamond","EMERALD","0.74","Blue","FANCY INTENSE","VS1","","4.16*6.19*2.77","167.18","CVD","66.6","61","647475656","https://www.igi.org/reports/verify-your-report?r=647475656","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926410205&zoomslide=1&z=1926410205&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_019"
"20","EMERALD Cut Diamond","EMERALD","1.5","Green","FANCY DEEP","VS2","","7.45 * 5.44 * 3.69","339","CVD","67.8","55.5","532245044","https://www.igi.org/reports/verify-your-report?r=532245044","http://view.gem360.in/gem360/2006221256-KI6/gem360-2006221256-KI6.html","","IGI","EMERALD_Cut_Diamond_020"
"21","OVAL Cut Diamond","OVAL","0.92","Blue","FANCY VIVID","VS1","","5.59*7.59*3.50","209.82","","62.6","57","631429899","https://www.igi.org/reports/verify-your-report?r=631429899","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470396&zoomslide=1&z=1920470396&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_021"
"22","PEAR Cut Diamond","PEAR","0.91","Pink","FANCY DEEP","VS1","EXCELLENT","5.38*8.65*3.33","207.53","CVD","61.96","62","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926370002&zoomslide=1&z=1926370002&ISCONFIRM=0","","NON-CERT","PEAR_Cut_Diamond_022"
"23","EMERALD Cut Diamond","EMERALD","0.8","Blue","FANCY VIVID","VVS2","","4.34*6.36*2.91","186.34","CVD","67.1","63","598326986","https://www.igi.org/reports/verify-your-report?r=598326986","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290558&zoomslide=1&z=1924290558&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_023"
"24","EMERALD Cut Diamond","EMERALD","0.76","Blue","FANCY VIVID","VVS2","","4.22*6.18*2.83","177.02","CVD","67.1","65","627431607","https://www.igi.org/reports/verify-your-report?r=627431607","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924780327&zoomslide=1&z=1924780327&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_024"
"25","EMERALD Cut Diamond","EMERALD","0.75","Blue","FANCY VIVID","VVS2","","4.21*6.14*2.81","174.69","CVD","66.7","65","627431609","https://www.igi.org/reports/verify-your-report?r=627431609","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924780410&zoomslide=1&z=1924780410&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_025"
"26","EMERALD Cut Diamond","EMERALD","0.71","Blue","FANCY VIVID","VVS2","","4.07*6.29*2.68","165.37","CVD","65.8","68","626457120","https://www.igi.org/reports/verify-your-report?r=626457120","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410908&zoomslide=1&z=1924410908&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_026"
"27","CUSHION Cut Diamond","CUSHION","2.1","Blue","FANCY DEEP","VVS2","","7.08*7.60*4.38","495.18","","61.9","63","631429904","https://www.igi.org/reports/verify-your-report?r=631429904","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470417&zoomslide=1&z=1920470417&ISCONFIRM=0","","IGI","CUSHION_Cut_Diamond_027"
"28","MARQUISE Cut Diamond","MARQUISE","0.71","Blue","FANCY VIVID","VS1","","4.45*9.55*2.83","167.56","","63.6","60","624499494","https://www.igi.org/reports/verify-your-report?r=624499494","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470186&zoomslide=1&z=1920470186&ISCONFIRM=0","","IGI","MARQUISE_Cut_Diamond_028"
"29","MARQUISE Cut Diamond","MARQUISE","1.9","Blue","FANCY VIVID","VS1","","13.33 - 6.62 * 3.83","450.3","CVD","57.9","67","576360510","https://www.igi.org/reports/verify-your-report?r=576360510","http://view.gem360.in/gem360/1007230532-AD1L43/gem360-1007230532-AD1L43.html","","IGI","MARQUISE_Cut_Diamond_029"
"30","MARQUISE Cut Diamond","MARQUISE","1.51","Blue","FANCY VIVID","SI1","","10.91 - 6.26 * 3.96","357.87","CVD","63.3","60.5","560227333","https://www.igi.org/reports/verify-your-report?r=560227333","http://view.gem360.in/gem360/1701231049-ADI172/gem360-1701231049-ADI172.html","","IGI","MARQUISE_Cut_Diamond_030"
"31","CUSHION  Cut Diamond","CUSHION ","2.94","Blue","FANCY VIVID","SI1","","9.01 - 7.39 * 5.24","705.6","CVD","70.9","66","588347122","https://www.igi.org/reports/verify-your-report?r=588347122","http://view.gem360.in/gem360/0308230851-ADE04/gem360-0308230851-ADE04.html","","IGI","CUSHION__Cut_Diamond_031"
"32","CUSHION  Cut Diamond","CUSHION ","2.83","Blue","FANCY VIVID","SI1","","9.63 - 7.32 * 4.71","679.2","CVD","64.3","56","610345940","https://www.igi.org/reports/verify-your-report?r=610345940","https://workshop.360view.link/view/1512230-ADD2134","","IGI","CUSHION__Cut_Diamond_032"
"33","CUSHION  Cut Diamond","CUSHION ","1.78","Blue","FANCY VIVID","VS2","","7.66 - 6.36 * 4.11","427.2","CVD","64.6","59","605346380","https://www.igi.org/reports/verify-your-report?r=605346380","https://workshop.360view.link/view/2810237-ADD290","","IGI","CUSHION__Cut_Diamond_033"
"34","CUSHION  Cut Diamond","CUSHION ","1.72","Blue","FANCY VIVID","VS1","","7.93 - 6.21 * 4.11","412.8","CVD","66.2","64","610345935","https://www.igi.org/reports/verify-your-report?r=610345935","https://workshop.360view.link/view/1512237-ADD2208","","IGI","CUSHION__Cut_Diamond_034"
"35","CUSHION  Cut Diamond","CUSHION ","1.51","Blue","FANCY VIVID","VS1","","7.30 - 6.14 * 3.99","362.4","CVD","65","58","595381773","https://www.igi.org/reports/verify-your-report?r=595381773","http://view.gem360.in/gem360/1309230452-ADV151/gem360-1309230452-ADV151.html","","IGI","CUSHION__Cut_Diamond_035"
"36","CUSHION  Cut Diamond","CUSHION ","1.5","Blue","FANCY VIVID","VS2","","7.49 - 5.88 * 3.86","360","CVD","65.6","59","605390652","https://www.igi.org/reports/verify-your-report?r=605390652","https://workshop.360view.link/view/0311236-ADD2139","","IGI","CUSHION__Cut_Diamond_036"
"37","CUSHION Cut Diamond","CUSHION","1.82","Blue","FANCY VIVID","VS2","","8.51 - 6.13 * 4.04","436.8","CVD","65.9","57","612323883","https://www.igi.org/reports/verify-your-report?r=612323883","https://workshop.360view.link/view/2712231-ADD2211","","IGI","CUSHION_Cut_Diamond_037"
"38","EMERALD Cut Diamond","EMERALD","3.05","Blue","FANCY VIVID","VS1","","9.78 - 6.91 * 4.38","732","CVD","63.4","67","588347144","https://www.igi.org/reports/verify-your-report?r=588347144","http://view.gem360.in/gem360/0308230835-ADE07/gem360-0308230835-ADE07.html","","IGI","EMERALD_Cut_Diamond_038"
"39","CUSHION  Cut Diamond","CUSHION ","1.51","Blue","FANCY VIVID","SI1","","6.41 - 6.27 * 4.34","362.4","CVD","69.2","61","595381774","https://www.igi.org/reports/verify-your-report?r=595381774","http://view.gem360.in/gem360/1309230446-ADV159/gem360-1309230446-ADV159.html","","IGI","CUSHION__Cut_Diamond_039"
"40","CUSHION  Cut Diamond","CUSHION ","2.11","Blue","FANCY VIVID","SI1","","8.58 - 6.71 * 4.18","510.62","CVD","62.3","61","588347121","https://www.igi.org/reports/verify-your-report?r=588347121","http://view.gem360.in/gem360/0308230913-ADU148/gem360-0308230913-ADU148.html","","IGI","CUSHION__Cut_Diamond_040"
"41","ROUND Cut Diamond","ROUND","3.17","Blue","FANCY VIVID","VS1","EXCELLENT","9.42 * 9.46 * 5.67","776.65","CVD","60","59.8","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://view.gem360.in/gem360.html?d=0807241802-R-44-3","","NON-CERT","ROUND_Cut_Diamond_041"
"42","ROUND Cut Diamond","ROUND","2.7","Blue","FANCY VIVID","VS1","EXCELLENT","8.97 * 9.0 * 5.32","661.5","CVD","59.2","61","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://view.gem360.in/gem360.html?d=0807241803-R-44-4","","NON-CERT","ROUND_Cut_Diamond_042"
"43","ROUND Cut Diamond","ROUND","1.51","Blue","FANCY VIVID","VS1","EXCELLENT","7.48 * 7.5 * 4.42","369.95","CVD","59","62.5","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://view.gem360.in/gem360.html?d=0807241753-R-44-1","","NON-CERT","ROUND_Cut_Diamond_043"
"44","PRINCESS Cut Diamond","PRINCESS","2.56","Blue","FANCY INTENSE","SI1","","7.47 - 7.27 * 5.23","627.2","CVD","71.9","66","652436861","https://www.igi.org/reports/verify-your-report?r=652436861","https://video.S360.services/?d=ADW206C","","IGI","PRINCESS_Cut_Diamond_044"
"45","EMERALD Cut Diamond","EMERALD","0.93","Blue","FANCY VIVID","VS2","","4.60*6.72*2.98","229.72","CVD","64.8","64","626457117","https://www.igi.org/reports/verify-your-report?r=626457117","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410707&zoomslide=1&z=1924410707&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_045"
"46","OVAL  Cut Diamond","OVAL ","2.01","Blue","FANCY VIVID","VS1","","9.92 * 7.12 * 4.39","502.5","CVD","61.6","57","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=1307242-AP-107","","NON-CERT","OVAL__Cut_Diamond_046"
"47","OVAL  Cut Diamond","OVAL ","1.79","Blue","FANCY VIVID","VS1","","9.48 * 6.9 * 4.27","447.5","CVD","61.9","60","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=1307241-AP-108","","NON-CERT","OVAL__Cut_Diamond_047"
"48","OVAL  Cut Diamond","OVAL ","1.32","Pink","FANCY VIVID","SI1","","8.49 * 5.73 * 3.52","330","CVD","61.4","61","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=1007246-k2895","","NON-CERT","OVAL__Cut_Diamond_048"
"49","CUSHION  Cut Diamond","CUSHION ","1.94","Pink","FANCY VIVID","SI1","","7.85 - 6.51 * 4.35","485","CVD","66.8","62","595380179","https://www.igi.org/reports/verify-your-report?r=595380179","http://view.gem360.in/gem360/0909231113-ADV125/gem360-0909231113-ADV125.html","","IGI","CUSHION__Cut_Diamond_049"
"50","CUSHION  Cut Diamond","CUSHION ","1.5","Pink","FANCY INTENSE","VS1","","7.80 - 5.84 * 3.73","375","CVD","63.9","59","595380183","https://www.igi.org/reports/verify-your-report?r=595380183","http://view.gem360.in/gem360/0909231122-ADV158/gem360-0909231122-ADV158.html","","IGI","CUSHION__Cut_Diamond_050"
"51","CUSHION  Cut Diamond","CUSHION ","1.17","Pink","FANCY INTENSE","VS1","","6.86 - 5.72 * 3.61","292.5","CVD","63.1","53","595380185","https://www.igi.org/reports/verify-your-report?r=595380185","http://view.gem360.in/gem360/0909231130-ADV164/gem360-0909231130-ADV164.html","","IGI","CUSHION__Cut_Diamond_051"
"52","CUSHION  Cut Diamond","CUSHION ","1.01","Yellow","FANCY INTENSE","VS2","","7.37 - 5.16 * 3.36","252.5","CVD","65.1","61","595380221","https://www.igi.org/reports/verify-your-report?r=595380221","http://view.gem360.in/gem360/1109231253-ADQ140A/gem360-1109231253-ADQ140A.html","","IGI","CUSHION__Cut_Diamond_052"
"53","EMERALD Cut Diamond","EMERALD","3.87","Blue","FANCY VIVID","SI1","","11.14 - 6.94 * 4.70","967.5","CVD","67.7","68","576360498","https://www.igi.org/reports/verify-your-report?r=576360498","http://view.gem360.in/gem360/1007230524-ADM130/gem360-1007230524-ADM130.html","","IGI","EMERALD_Cut_Diamond_053"
"54","EMERALD Cut Diamond","EMERALD","3.28","Blue","FANCY INTENSE","VS1","","11.71 - 6.39 * 4.08","820","CVD","63.8","62","598325872","https://www.igi.org/reports/verify-your-report?r=598325872","https://workshop.360view.link/view/1909240-ADX120","","IGI","EMERALD_Cut_Diamond_054"
"55","RADIANT Cut Diamond","RADIANT","4.24","Blue","FANCY VIVID","SI2","","11.54 - 7.79 * 4.95","1060","CVD","63.5","61","605346397","https://www.igi.org/reports/verify-your-report?r=605346397","https://workshop.360view.link/view/2810237-ADE203","","IGI","RADIANT_Cut_Diamond_055"
"56","RADIANT Cut Diamond","RADIANT","1.5","Pink","FANCY VIVID","VS2","","7.87 - 5.34 * 3.67","375","CVD","68.7","61","595380190","https://www.igi.org/reports/verify-your-report?r=595380190","http://view.gem360.in/gem360/0909231115-ADV160/gem360-0909231115-ADV160.html","","IGI","RADIANT_Cut_Diamond_056"
"57","RADIANT Cut Diamond","RADIANT","1","Yellow","FANCY VIVID","VS1","","7.40 - 4.94 * 3.24","250","CVD","65.6","67","645465268","https://www.igi.org/reports/verify-your-report?r=645465268","https://workshop.360view.link/view/2408240-ADKR03","","IGI","RADIANT_Cut_Diamond_057"
"58","OVAL  Cut Diamond","OVAL ","4.9","Blue","FANCY VIVID","VS2","","13.92 * 9.43 * 5.72","1249.5","CVD","60.7","62","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=1307242-AP-105","","NON-CERT","OVAL__Cut_Diamond_058"
"59","RADIANT Cut Diamond","RADIANT","1.87","Blue","FANCY VIVID","SI1","","6.18*7.87*4.10","478.85","CVD","66.3","66","606328334","https://www.igi.org/reports/verify-your-report?r=606328334","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924620066&zoomslide=1&z=1924620066&ISCONFIRM=0","","IGI","RADIANT_Cut_Diamond_059"
"60","OVAL Cut Diamond","OVAL","1.74","Pink","FANCY DEEP","VS2","EXCELLENT","6.46*9.35*4.00","448.78","CVD","61.85","59","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060024&zoomslide=1&z=1926060024&ISCONFIRM=0","","NON-CERT","OVAL_Cut_Diamond_060"
"61","ROUND Cut Diamond","ROUND","2","Blue","FANCY VIVID","SI1","EXCELLENT","8.02 * 8.06 * 4.88","520","CVD","60.7","62","637456015","https://www.igi.org/reports/verify-your-report?r=637456015","https://workshop.360view.link/360viewer/360view.html?d=1106243-637456015","","IGI","ROUND_Cut_Diamond_061"
"62","RADIANT Cut Diamond","RADIANT","4.08","Blue","FANCY","SI1","","10.46 * 7.99 * 5.10","1060.8","CVD","63.8","67","478107715","https://www.igi.org/reports/verify-your-report?r=478107715","https://ds-360.jaykar.co.in/ds_360.php?chk=QWxs&q=SllLMjhFMjU5NQ==","","IGI","RADIANT_Cut_Diamond_062"
"63","OVAL  Cut Diamond","OVAL ","1.3","Blue","FANCY VIVID","VS2","","8.92 * 6.01 * 3.76","338","CVD","62.6","58","610348182","https://www.igi.org/reports/verify-your-report?r=610348182","https://vidb2c.s3.eu-north-1.amazonaws.com/Vision360.html?d=610348182","","IGI","OVAL__Cut_Diamond_063"
"64","EMERALD Cut Diamond","EMERALD","1.54","Pink","FANCY LIGHT","VS1","","8.26 - 5.19 * 3.36","400.4","CVD","64.7","68","591363290","https://www.igi.org/reports/verify-your-report?r=591363290","http://view.gem360.in/gem360/1508231014-ADU134/gem360-1508231014-ADU134.html","","IGI","EMERALD_Cut_Diamond_064"
"65","PEAR Cut Diamond","PEAR","1.38","Pink","FANCY VIVID","VS1","","9.09 - 6.07 * 3.61","358.8","CVD","59.5","57","648466437","https://www.igi.org/reports/verify-your-report?r=648466437","https://workshop.360view.link/view/0209240-ADV204A","","IGI","PEAR_Cut_Diamond_065"
"66","OVAL Cut Diamond","OVAL","0.6","Blue","FANCY VIVID","VS1","","4.77*7.00*2.80","156.62","CVD","58.7","63","624499483","https://www.igi.org/reports/verify-your-report?r=624499483","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924920345&zoomslide=1&z=1924920345&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_066"
"67","EMERALD Cut Diamond","EMERALD","0.52","Blue","FANCY INTENSE","VS1","","3.66*5.67*2.36","135.74","CVD","64.5","66","624499487","https://www.igi.org/reports/verify-your-report?r=624499487","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924290620&zoomslide=1&z=1924290620&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_067"
"68","OVAL Cut Diamond","OVAL","2.11","Yellow","FANCY","VS1","","6.74*9.79*4.39","557.99","CVD","65.1","61","629479328","https://www.igi.org/reports/verify-your-report?r=629479328","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926060003&zoomslide=1&z=1926060003&ISCONFIRM=0","","IGI","OVAL_Cut_Diamond_068"
"69","EMERALD Cut Diamond","EMERALD","0.5","Blue","FANCY VIVID","VS2","","3.70*5.58*2.40","132.5","CVD","64.9","68","627431606","https://www.igi.org/reports/verify-your-report?r=627431606","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410852&zoomslide=1&z=1924410852&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_069"
"70","CUSHION  Cut Diamond","CUSHION ","2.39","Pink","FANCY VIVID","VS1","","8.75 - 6.88 * 4.44","633.35","CVD","64.5","61","606345088","https://www.igi.org/reports/verify-your-report?r=606345088","https://workshop.360view.link/view/0711231-ADD241","","IGI","CUSHION__Cut_Diamond_070"
"71","CUSHION  Cut Diamond","CUSHION ","2.25","Pink","FANCY VIVID","VS2","","9.21 - 6.69 * 4.40","596.25","CVD","65.8","59","595380177","https://www.igi.org/reports/verify-your-report?r=595380177","http://view.gem360.in/gem360/0909231105-ADV112/gem360-0909231105-ADV112.html","","IGI","CUSHION__Cut_Diamond_071"
"72","CUSHION  Cut Diamond","CUSHION ","2.02","Pink","FANCY VIVID","SI1","","8.73 - 6.47 * 4.19","535.3","CVD","64.8","59","606345087","https://www.igi.org/reports/verify-your-report?r=606345087","https://workshop.360view.link/view/0711237-ADD2125","","IGI","CUSHION__Cut_Diamond_072"
"73","EMERALD Cut Diamond","EMERALD","1.12","Blue","FANCY VIVID","SI1","","4.84*6.83*3.26","299.2","CVD","67.4","65","602359505","https://www.igi.org/reports/verify-your-report?r=602359505","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924410736&zoomslide=1&z=1924410736&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_073"
"74","ROUND Cut Diamond","ROUND","1.64","Blue","FANCY VIVID","VS1","EXCELLENT","7.66*7.70*4.59","440.75","CVD","59.8","60","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=902590006&zoomslide=1&z=1902590006&ISCONFIRM=0","","NON-CERT","ROUND_Cut_Diamond_074"
"75","ROUND Cut Diamond","ROUND","1.55","Blue","FANCY VIVID","VS1","EXCELLENT","7.42*7.43*4.58","416.56","CVD","61.7","56","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://ssdweb.co/ssdweb/hd/Vision360.html?d=902390015&zoomslide=1&z=1902390015&ISCONFIRM=0","","NON-CERT","ROUND_Cut_Diamond_075"
"76","OVAL  Cut Diamond","OVAL ","1.5","Green","FANCY VIVID","VS2","","9.4 * 6.31 * 4.00","405","CVD","63.4","57","NON-CERT","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://workshop.360view.link/360viewer/360view.html?d=2709242-k977a","","NON-CERT","OVAL__Cut_Diamond_076"
"77","CUSHION  Cut Diamond","CUSHION ","1.53","Yellow","FANCY VIVID","VS1","","7.70 - 5.93 * 4.01","413.1","CVD","67.6","58","654455589","https://www.igi.org/reports/verify-your-report?r=654455589","https://video.S360.services/?d=ADV140","","IGI","CUSHION__Cut_Diamond_077"
"78","CUSHION  Cut Diamond","CUSHION ","1.17","Yellow","FANCY VIVID","VVS2","","6.69 - 5.60 * 3.60","315.9","CVD","64.3","60","654455591","https://www.igi.org/reports/verify-your-report?r=654455591","https://video.S360.services/?d=ADV180","","IGI","CUSHION__Cut_Diamond_078"
"79","CUSHION  Cut Diamond","CUSHION ","1.13","Blue","FANCY VIVID","VS1","","6.64 - 5.60 * 3.57","305.1","CVD","63.8","62","595381776","https://www.igi.org/reports/verify-your-report?r=595381776","http://view.gem360.in/gem360/1309230458-ADV129/gem360-1309230458-ADV129.html","","IGI","CUSHION__Cut_Diamond_079"
"80","EMERALD Cut Diamond","EMERALD","2.14","Pink","FANCY","VS2","","9.60 - 5.59 * 3.73","577.8","CVD","66.7","64","610345953","https://www.igi.org/reports/verify-your-report?r=610345953","https://workshop.360view.link/view/1512230-ADD2203","","IGI","EMERALD_Cut_Diamond_080"
"81","ROUND Cut Diamond","ROUND","1.94","Orange","FANCY VIVID","VS1","EXCELLENT","8.06 - 8.10 * 4.85","523.8","CVD","60.1","60","628438926","https://www.igi.org/reports/verify-your-report?r=628438926","https://workshop.360view.link/view/0904241-ADQ177","","IGI","ROUND_Cut_Diamond_081"
"82","EMERALD Cut Diamond","EMERALD","0.5","Blue","FANCY VIVID","VS1","","3.63*5.70*2.43","135.52","","66.9","64","631429898","https://www.igi.org/reports/verify-your-report?r=631429898","https://ssdweb.co/ssdweb/hd/Vision360.html?d=920470395&zoomslide=1&z=1920470395&ISCONFIRM=0","","IGI","EMERALD_Cut_Diamond_082"
