"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"1","Radiant Cut Diamond","RADIANT","1601.66","2101.66","5.16","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.38 - 8.45 * 5.66","67","64","RAD70","IGI","653452111","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38533881.html","https://www.igi.org/reports/verify-your-report?r=653452111","CVD"
"2","Marquise Cut Diamond","MARQUISE","1561.31","2061.31","5.03","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/marquise.png","17.65 - 8.85 * 5.51","62.3","61","MAR14","IGI","651437507","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38064507.html","https://www.igi.org/reports/verify-your-report?r=651437507","CVD"
"3","Radiant Cut Diamond","RADIANT","1431.04","1931.04","5.12","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.54 - 8.48 * 5.67","66.9","64","RAD80","IGI","653438631","","https://www.igi.org/reports/verify-your-report?r=653438631","CVD"
"4","Radiant Cut Diamond","RADIANT","1403.35","1903.35","5.08","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.43 - 8.39 * 5.59","66.6","64","RAD46","IGI","651400387","https://diamview360.s3.ap-south-1.amazonaws.com/polish/37813074.html","https://www.igi.org/reports/verify-your-report?r=651400387","CVD"
"5","Oval Cut Diamond","OVAL","1433.74","1933.74","5.19","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.19-9.57*5.95","62.2","58","OVA17","IGI","617473130","https://videop.co.in/vision360.html?d=23558","https://www.igi.org/reports/verify-your-report?r=617473130","CVD"
"6","Oval Cut Diamond","OVAL","1414.4","1914.4","5.12","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.22-9.45*5.86","62","57","OVA85","IGI","611395576","https://videop.co.in/vision360.html?d=22573","https://www.igi.org/reports/verify-your-report?r=611395576","CVD"
"7","Oval Cut Diamond","OVAL","1408.88","1908.88","5.1","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.92-9.64*5.84","60.6","58","OVA47","IGI","619431908","https://videop.co.in/vision360.html?d=23867","https://www.igi.org/reports/verify-your-report?r=619431908","CVD"
"8","Oval Cut Diamond","OVAL","1397.83","1897.83","5.06","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.19-9.55*5.84","61.2","60","OVA90","IGI","612320975","https://videop.co.in/vision360.html?d=22324","https://www.igi.org/reports/verify-your-report?r=612320975","CVD"
"9","Oval Cut Diamond","OVAL","1386.78","1886.78","5.02","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.68-9.83*5.56","56.6","57","OVA65","IGI","611395575","https://videop.co.in/vision360.html?d=24017","https://www.igi.org/reports/verify-your-report?r=611395575","CVD"
"10","Oval Cut Diamond","OVAL","1384.01","1884.01","5.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.65-9.55*5.98","62.6","57","OVA17","IGI","617404377","https://videop.co.in/vision360.html?d=23504","https://www.igi.org/reports/verify-your-report?r=617404377","CVD"
"11","Pear Diamond","PEAR","1664.52","2164.52","5.2","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.35-9.69*5.81","60","57","PEA77","IGI","640476126","https://videop.co.in/vision360.html?d=28410","https://www.igi.org/reports/verify-your-report?r=640476126","CVD"
"12","Radiant Cut Diamond","RADIANT","1577.51","2077.51","5.54","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.81 - 8.71 * 5.80","66.6","66","RAD29","IGI","652446145","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38224789.html","https://www.igi.org/reports/verify-your-report?r=652446145","CVD"
"13","Oval Cut Diamond","OVAL","1735.23","2235.23","5.34","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.63-9.65*5.87","60.8","59","OVA98","IGI","619453050","https://videop.co.in/vision360.html?d=23941","https://www.igi.org/reports/verify-your-report?r=619453050","CVD"
"14","Oval Cut Diamond","OVAL","1286.33","1786.33","5.26","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.26-9.87*5.96","60.4","58","OVA79","IGI","620430810","https://videop.co.in/vision360.html?d=24314","https://www.igi.org/reports/verify-your-report?r=620430810","CVD"
"15","Oval Cut Diamond","OVAL","1480.7","1980.7","5.2","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.15-9.83*6.03","61.3","59","OVA24","IGI","617416702","https://videop.co.in/vision360.html?d=23551","https://www.igi.org/reports/verify-your-report?r=617416702","CVD"
"16","L Radiant Diamond","RADIANT","1696.78","2196.78","5.23","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.87-8.42*5.37","63.8","57","L R24","IGI","637469990","https://videop.co.in/vision360.html?d=28089","https://www.igi.org/reports/verify-your-report?r=637469990","CVD"
"17","L Radiant Diamond","RADIANT","1678.93","2178.93","5.16","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.87-8.37*5.41","64.6","61","L R24","IGI","637452774","https://videop.co.in/vision360.html?d=28076","https://www.igi.org/reports/verify-your-report?r=637452774","CVD"
"18","L Radiant Diamond","RADIANT","1635.32","2135.32","5.07","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.74-8.29*5.28","63.7","61","L R59","IGI","639486804","https://videop.co.in/vision360.html?d=28236","https://www.igi.org/reports/verify-your-report?r=639486804","CVD"
"19","Radiant Cut Diamond","RADIANT","1587.22","2087.22","5.13","","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.51 - 8.36 * 5.68","67.9","66","RAD72","IGI","653424058","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38479553.html","https://www.igi.org/reports/verify-your-report?r=653424058","CVD"
"20","Emerald Diamond","EMERALD","4954.82","5454.82","11.21","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.38 - 10.43 * 7.04","67.5","65","EME65","IGI","650488144","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36B-1","https://www.igi.org/reports/verify-your-report?r=650488144","CVD"
"21","Emerald Diamond","EMERALD","4446.52","4946.52","10.06","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","14.59 - 10.18 * 6.87","67.5","65","EME36","IGI","647482926","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36B-5","https://www.igi.org/reports/verify-your-report?r=647482926","CVD"
"22","Emerald Diamond","EMERALD","4420","4920","10","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.03 - 10.07 * 6.68","66.3","63","EME10","IGI","650488145","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAE36A-5","https://www.igi.org/reports/verify-your-report?r=650488145","CVD"
"23","Oval Cut Diamond","OVAL","1698.47","2198.47","5.15","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.69-9.59*5.93","61.8","57","OVA78","IGI","617418730","https://videop.co.in/vision360.html?d=23559","https://www.igi.org/reports/verify-your-report?r=617418730","CVD"
"24","Oval Cut Diamond","OVAL","1275.75","1775.75","5.14","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.64-9.67*5.91","61.1","58","OVA66","IGI","620482329","https://videop.co.in/vision360.html?d=24078","https://www.igi.org/reports/verify-your-report?r=620482329","CVD"
"25","Radiant Cut Diamond","RADIANT","1854.72","2354.72","5.12","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.35 - 8.35 * 5.69","68.1","64","RAD81","IGI","654482061","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38534798.html","https://www.igi.org/reports/verify-your-report?r=654482061","CVD"
"26","Radiant Cut Diamond","RADIANT","1596.66","2096.66","5.2","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.30 - 8.55 * 5.75","67.3","65","RAD62","IGI","652446144","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38223714.html","https://www.igi.org/reports/verify-your-report?r=652446144","CVD"
"27","Marquise Cut Diamond","MARQUISE","1469.18","1969.18","5.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/marquise.png","18.85-8.99*5.26","58.5","59","MAR70","IGI","638465861","https://videop.co.in/vision360.html?d=28203","https://www.igi.org/reports/verify-your-report?r=638465861","CVD"
"28","Pear Diamond","PEAR","1498.51","1998.51","5.11","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.36-9.42*5.66","60.1","59","PEA98","IGI","620439718","https://videop.co.in/vision360.html?d=24306","https://www.igi.org/reports/verify-your-report?r=620439718","CVD"
"29","Oval Cut Diamond","OVAL","2246.3","2746.3","7.66","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","17.05-11.21*6.41","57.2","57","OVA67","IGI","611388862","https://videop.co.in/vision360.html?d=22291","https://www.igi.org/reports/verify-your-report?r=611388862","CVD"
"30","Oval Cut Diamond","OVAL","2234.57","2734.57","7.62","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.8-10.76*6.47","60.1","59","OVA12","IGI","621465876","https://videop.co.in/vision360.html?d=24458","https://www.igi.org/reports/verify-your-report?r=621465876","CVD"
"31","Oval Cut Diamond","OVAL","2082.08","2582.08","7.1","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.18-10.74*6.43","59.9","59","OVA64","IGI","614314645","https://videop.co.in/vision360.html?d=22927","https://www.igi.org/reports/verify-your-report?r=614314645","CVD"
"32","Oval Cut Diamond","OVAL","2079.14","2579.14","7.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.15-10.6*6.35","59.9","59","OVA10","IGI","619453052","https://videop.co.in/vision360.html?d=23935","https://www.igi.org/reports/verify-your-report?r=619453052","CVD"
"33","Oval Cut Diamond","OVAL","2079.14","2579.14","7.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.34-11.2*6.31","56.3","57","OVA87","IGI","612301453","https://videop.co.in/vision360.html?d=22216","https://www.igi.org/reports/verify-your-report?r=612301453","CVD"
"34","Oval Cut Diamond","OVAL","2067.41","2567.41","7.05","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.65-11*6.31","57.4","57","OVA26","IGI","611355852","https://videop.co.in/vision360.html?d=22063","https://www.igi.org/reports/verify-your-report?r=611355852","CVD"
"35","Oval Cut Diamond","OVAL","2064.48","2564.48","7.04","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.52-10.54*6.32","60","58","OVA45","IGI","614333016","https://videop.co.in/vision360.html?d=22827","https://www.igi.org/reports/verify-your-report?r=614333016","CVD"
"36","Oval Cut Diamond","OVAL","2058.62","2558.62","7.02","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.57-11.02*6.21","56.4","60","OVA38","IGI","614394526","https://videop.co.in/vision360.html?d=22615","https://www.igi.org/reports/verify-your-report?r=614394526","CVD"
"37","Oval Cut Diamond","OVAL","2055.68","2555.68","7.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.53-11.04*6.27","56.8","60","OVA44","IGI","611388867","https://videop.co.in/vision360.html?d=22067","https://www.igi.org/reports/verify-your-report?r=611388867","CVD"
"38","Oval Cut Diamond","OVAL","1780.34","2280.34","5.32","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.41-9.72*5.87","60.4","58","OVA89","IGI","640476121","https://videop.co.in/vision360.html?d=28375","https://www.igi.org/reports/verify-your-report?r=640476121","CVD"
"39","Oval Cut Diamond","OVAL","1312.14","1812.14","5.21","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.16-9.63*5.87","61","60","OVA62","IGI","618483556","https://videop.co.in/vision360.html?d=24219","https://www.igi.org/reports/verify-your-report?r=618483556","CVD"
"40","Oval Cut Diamond","OVAL","1544.46","2044.46","5.03","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.63-9.72*5.63","57.9","58","OVA35","IGI","611389177","https://videop.co.in/vision360.html?d=22296","https://www.igi.org/reports/verify-your-report?r=611389177","CVD"
"41","Emerald Diamond","EMERALD","1707.7","2207.7","5.09","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.39-8.07*5.07","62.8","59","EME42","IGI","640420280","https://videop.co.in/vision360.html?d=28542","https://www.igi.org/reports/verify-your-report?r=640420280","CVD"
"42","L Radiant Diamond","RADIANT","1896.74","2396.74","5.39","","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","13.01-8.46*5.38","63.6","58","L R95","IGI","639411986","https://videop.co.in/vision360.html?d=28247","https://www.igi.org/reports/verify-your-report?r=639411986","CVD"
"43","L Radiant Diamond","RADIANT","1847.48","2347.48","5.25","","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.87-8.45*5.36","63.4","58","L R99","IGI","639461876","https://videop.co.in/vision360.html?d=28362","https://www.igi.org/reports/verify-your-report?r=639461876","CVD"
"44","L Radiant Diamond","RADIANT","1805.25","2305.25","5.13","","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.23-8.27*5.67","68.6","63","L R67","IGI","640487479","https://videop.co.in/vision360.html?d=28477","https://www.igi.org/reports/verify-your-report?r=640487479","CVD"
"45","Emerald Diamond","EMERALD","5371.07","5871.07","10.03","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","15.01-9.49*6.49","68.4","63","EME96","IGI","601390212","https://workshop.360view.link/360viewer/360view.html?d=2109236-YDC-4312","https://www.igi.org/reports/verify-your-report?r=601390212","CVD"
"46","Asscher Diamond","ASSCHER","1852.2","2352.2","5.04","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/asscher.png","9.40-9.14*5.85","64","63","ASS49","IGI","643452210","https://workshop.360view.link/360viewer/360view.html?d=1207248-YDC-12075","https://www.igi.org/reports/verify-your-report?r=643452210","CVD"
"47","Asscher Diamond","ASSCHER","1848.53","2348.53","5.03","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/asscher.png","9.63-9.25*5.93","64.1","63","ASS72","IGI","615342373","https://workshop.360view.link/360viewer/360view.html?d=2712238-YDC-4832","https://www.igi.org/reports/verify-your-report?r=615342373","CVD"
"48","Pear Diamond","PEAR","1775.59","2275.59","5.23","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.54-9.69*5.68","58.6","58","PEA25","IGI","618483558","https://videop.co.in/vision360.html?d=24230","https://www.igi.org/reports/verify-your-report?r=618483558","CVD"
"49","Oval Cut Diamond","OVAL","1559.18","2059.18","5.18","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.32-9.49*5.89","62.1","58","OVA89","IGI","617412906","https://videop.co.in/vision360.html?d=23673","https://www.igi.org/reports/verify-your-report?r=617412906","CVD"
"50","Oval Cut Diamond","OVAL","1550.15","2050.15","5.15","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.07-9.86*5.99","60.8","59","OVA46","IGI","618483564","https://videop.co.in/vision360.html?d=24208","https://www.igi.org/reports/verify-your-report?r=618483564","CVD"
"51","Oval Cut Diamond","OVAL","1174.85","1674.85","5.01","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.98-9.71*5.81","59.8","56","OVA53","IGI","617485203","https://videop.co.in/vision360.html?d=23429","https://www.igi.org/reports/verify-your-report?r=617485203","CVD"
"52","L Radiant Diamond","RADIANT","1639.23","2139.23","5.51","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","13.14-8.55*5.42","63.4","59","L R19","IGI","639426275","https://videop.co.in/vision360.html?d=28278","https://www.igi.org/reports/verify-your-report?r=639426275","CVD"
"53","Round Diamond","ROUND","2045.87","2545.87","5.1","IDEAL","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.01 * 11.05 * 6.73","61","57","ROU70","IGI","621414797","https://workshop.360view.link/360viewer/360view.html?d=0203241-621414797","https://www.igi.org/reports/verify-your-report?r=621414797","CVD"
"54","Oval Cut Diamond","OVAL","1234.44","1734.44","5.19","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.16 - 9.74 * 6.00","61.6","61","OVA49","IGI","649412556","https://diamview360.s3.ap-south-1.amazonaws.com/polish/37937710.html","https://www.igi.org/reports/verify-your-report?r=649412556","CVD"
"55","Emerald Diamond","EMERALD","1301.04","1801.04","5.47","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.08 - 8.16 * 5.46","66.9","65","EME19","IGI","610330452","https://v3603650.v360.in/vision360.html?d=J77SB-13-B","https://www.igi.org/reports/verify-your-report?r=610330452","CVD"
"56","Radiant Cut Diamond","RADIANT","1425.33","1925.33","5.5","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.71 - 8.59 * 5.74","66.8","66","RAD30","IGI","653452112","https://diamview360.s3.ap-south-1.amazonaws.com/polish/38479505.html","https://www.igi.org/reports/verify-your-report?r=653452112","CVD"
"57","Radiant Cut Diamond","RADIANT","1196.39","1696.39","5.03","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.36 - 8.55 * 5.44","63.6","64","RAD19","IGI","620444692","https://v3603650.v360.in/vision360.html?d=2712181","https://www.igi.org/reports/verify-your-report?r=620444692","CVD"
"58","Emerald Diamond","EMERALD","1983.03","2483.03","5.32","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.67 - 8.18 * 5.57","68.1","69","EME72","IGI","650496759","https://video.S360.services/?d=ADW243","https://www.igi.org/reports/verify-your-report?r=650496759","CVD"
"59","Princess Diamond","PRINCESS","1912.21","2412.21","5.13","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/princess.png","9.24-8.97*6.56","73.1","72","PRI70","IGI","624421391","https://workshop.360view.link/360viewer/360view.html?d=2402245-YDC-5478","https://www.igi.org/reports/verify-your-report?r=624421391","CVD"
"60","Pear Diamond","PEAR","1728.64","2228.64","5.02","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.36-9.48*5.62","59.3","59","PEA35","IGI","622479480","https://workshop.360view.link/360viewer/360view.html?d=1502248-YDC-5345","https://www.igi.org/reports/verify-your-report?r=622479480","CVD"
"61","Pear Diamond","PEAR","1725.19","2225.19","5.01","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","15.61-9.37*5.75","61.4","63","PEA20","IGI","613390521","https://workshop.360view.link/360viewer/360view.html?d=2012236-YDC-4757","https://www.igi.org/reports/verify-your-report?r=613390521","CVD"
"62","Emerald Diamond","EMERALD","1915.94","2415.94","5.14","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.97-7.74*5.16","66.7","65","EME99","IGI","649491296","https://workshop.360view.link/360viewer/360view.html?d=2008241-YDC-12587","https://www.igi.org/reports/verify-your-report?r=649491296","CVD"
"63","Emerald Diamond","EMERALD","1882.39","2382.39","5.05","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.68-7.77*5.31","68.3","65","EME82","IGI","648422334","https://workshop.360view.link/360viewer/360view.html?d=1308243-YDC-12497","https://www.igi.org/reports/verify-your-report?r=648422334","CVD"
"64","Emerald Diamond","EMERALD","1871.21","2371.21","5.02","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.07-7.78*5.01","64.4","63","EME21","IGI","648422332","https://workshop.360view.link/360viewer/360view.html?d=1308246-YDC-12505","https://www.igi.org/reports/verify-your-report?r=648422332","CVD"
"65","Cushion Diamond","CUSHION","1535.91","2035.91","5.09","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","11.77 - 9.27 * 6.4","69","61","CUS51","IGI","648477624","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEF38Y-1","https://www.igi.org/reports/verify-your-report?r=648477624","CVD"
"66","Cushion Diamond","CUSHION","1532.89","2032.89","5.08","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","11.85 - 9.2 * 6.33","68.8","61","CUS65","IGI","648492977","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEF39C-1","https://www.igi.org/reports/verify-your-report?r=648492977","CVD"
"67","Cushion Diamond","CUSHION","1511.77","2011.77","5.01","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","11.84 - 9.21 * 6.32","68.6","62","CUS34","IGI","649423402","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEF38H-1","https://www.igi.org/reports/verify-your-report?r=649423402","CVD"
"68","Emerald Diamond","EMERALD","1935.25","2435.25","5.62","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.22 - 8.31 * 5.68","68.4","61","EME93","IGI","645454649","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEF35E-1","https://www.igi.org/reports/verify-your-report?r=645454649","CVD"
"69","Emerald Diamond","EMERALD","1880.15","2380.15","5.46","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.18 - 8.28 * 5.55","67","65","EME24","IGI","642431871","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEL20O-1","https://www.igi.org/reports/verify-your-report?r=642431871","CVD"
"70","Emerald Diamond","EMERALD","1738.97","2238.97","5.05","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.01 - 7.99 * 5.4","67.6","63","EME27","IGI","647491058","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEK59T-2","https://www.igi.org/reports/verify-your-report?r=647491058","CVD"
"71","Oval Cut Diamond","OVAL","1824.42","2324.42","7.04","","G","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","16.62-10.74*6.26","58.3","57","OVA97","IGI","617485205","https://videop.co.in/vision360.html?d=23821","https://www.igi.org/reports/verify-your-report?r=617485205","CVD"
"72","Oval Cut Diamond","OVAL","2086.76","2586.76","6.06","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","15.19-10.19*6.13","60.2","58","OVA86","IGI","640487485","https://videop.co.in/vision360.html?d=28480","https://www.igi.org/reports/verify-your-report?r=640487485","CVD"
"73","Oval Cut Diamond","OVAL","1550.92","2050.92","5.08","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","14.25-9.47*5.72","60.4","57","OVA69","IGI","619431900","https://videop.co.in/vision360.html?d=23853","https://www.igi.org/reports/verify-your-report?r=619431900","CVD"
"74","Emerald Diamond","EMERALD","2432.32","2932.32","7.04","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","13.99-8.96*5.88","65.6","66","EME56","IGI","640412853","https://videop.co.in/vision360.html?d=28517","https://www.igi.org/reports/verify-your-report?r=640412853","CVD"
"75","L Radiant Diamond","RADIANT","2157.51","2657.51","7.15","","G","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","14.43-9.23*5.77","62.5","62","L R98","IGI","639426273","https://videop.co.in/vision360.html?d=28303","https://www.igi.org/reports/verify-your-report?r=639426273","CVD"
"76","Cushion  Diamond","CUSHION ","1883.66","2383.66","5.08","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","11.53 * 8.4 * 5.78","68.8","64","CUS25","IGI","596309834","https://view.gem360.in/gem360/0609230600-K1398/gem360-0609230600-K1398.html","https://www.igi.org/reports/verify-your-report?r=596309834","CVD"
"77","Emerald Diamond","EMERALD","2259.94","2759.94","5.32","","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","12.26 * 7.88 * 5.06","64.2","69","EME81","IGI","614396468","https://vidb2c.s3.eu-north-1.amazonaws.com/Vision360.html?d=614396468","https://www.igi.org/reports/verify-your-report?r=614396468","CVD"
"78","Emerald Diamond","EMERALD","2016","2516","5","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","10.94 * 7.81 * 5.18","66.3","72.5","EME42","IGI","544277991","https://view.gem360.in/gem360/0809221159-MK-9/gem360-0809221159-MK-9.html","https://www.igi.org/reports/verify-your-report?r=544277991","CVD"
"79","Emerald Diamond","EMERALD","1247","1747","5.17","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.85 - 8.11 * 5.23","64.5","66","EME60","IGI","634474747","https://diamview360.s3.ap-south-1.amazonaws.com/polish/5006476.html","https://www.igi.org/reports/verify-your-report?r=634474747","CVD"
"80","Radiant Cut Diamond","RADIANT","1210.82","1710.82","5.02","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/radiant.png","12.33 - 8.48 * 5.51","65","62","RAD85","IGI","651421672","https://diamview360.s3.ap-south-1.amazonaws.com/polish/37933357.html","https://www.igi.org/reports/verify-your-report?r=651421672","CVD"
"81","Emerald Diamond","EMERALD","2003.4","2503.4","5.3","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.57 - 8.28 * 5.42","65.5","62","EME15","IGI","651411018","https://video.S360.services/?d=ADW239B","https://www.igi.org/reports/verify-your-report?r=651411018","CVD"
"82","Emerald Diamond","EMERALD","1901.34","2401.34","5.03","","E","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","11.82 - 7.98 * 5.06","63.4","64","EME70","IGI","625418095","https://workshop.360view.link/view/1503245-ADJ250","https://www.igi.org/reports/verify-your-report?r=625418095","CVD"
"83","Princess Diamond","PRINCESS","1822.82","2322.82","5.22","","F","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/princess.png","9.25-9.18*6.65","72.4","69","PRI38","IGI","630459161","https://workshop.360view.link/360viewer/360view.html?d=1204243-YDC-6010","https://www.igi.org/reports/verify-your-report?r=630459161","CVD"
