"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"6544","Cushion Diamond","CUSHION","732.73","1232.73","3.08","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","10.09 - 7.8 * 5.39","69.1","63","CUS95","IGI","648477638","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEF36AB-200","https://www.igi.org/reports/verify-your-report?r=648477638","CVD"
"6545","Oval Cut Diamond","OVAL","828.87","1328.87","3.16","EXCELLENT","E","SI1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","11.98 - 8.22 * 5.14","62.5","60","OVA24","IGI","576321523","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAC189A-3","https://www.igi.org/reports/verify-your-report?r=576321523","CVD"
"6546","Oval Cut Diamond","OVAL","818.38","1318.38","3.12","EXCELLENT","E","SI1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","11.79 - 8.16 * 5.07","62.1","61","OVA42","IGI","570338190","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LHQ19E-2","https://www.igi.org/reports/verify-your-report?r=570338190","CVD"
"6547","Pear Diamond","PEAR","832.65","1332.65","3.5","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/pear.png","13.54 - 8.48 * 5.36","63.2","59","PEA54","IGI","611388611","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LET84F-9","https://www.igi.org/reports/verify-your-report?r=611388611","CVD"
"6548","Marquise Cut Diamond","MARQUISE","832.65","1332.65","3.5","","H","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/marquise.png","16.34 - 7.9 * 4.78","60.5","58","MAR21","IGI","600322806","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEK22D-3","https://www.igi.org/reports/verify-your-report?r=600322806","CVD"
"6549","Emerald Diamond","EMERALD","1051.34","1551.34","3.83","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","10.79 - 7.31 * 4.98","68.1","64","EME44","IGI","649426606","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEL27I-1","https://www.igi.org/reports/verify-your-report?r=649426606","CVD"
"6550","Emerald Diamond","EMERALD","1037.61","1537.61","3.78","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","10.99 - 7.22 * 4.91","68","62","EME40","IGI","640406934","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEK42BC-1","https://www.igi.org/reports/verify-your-report?r=640406934","CVD"
"6551","Emerald Diamond","EMERALD","971.73","1471.73","3.54","","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","10.53 - 7.03 * 4.85","69","64","EME27","IGI","639471814","https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LEL19AU-1","https://www.igi.org/reports/verify-your-report?r=639471814","CVD"
"6552","Round Diamond","ROUND","1986.28","2486.28","4.02","EXCELLENT","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.13-10.19*6.20","61","62","ROU90","IGI","633422068","https://mglgd.com/Media/viewer3/Vision360.html?d=L31622","https://www.igi.org/reports/verify-your-report?r=633422068","CVD"
"6553","Round Diamond","ROUND","1317.6","1817.6","3.6","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.74-9.77*6.08","62.3","60","ROU80","IGI","622469107","https://mglgd.com/Media/viewer3/Vision360.html?d=L19438","https://www.igi.org/reports/verify-your-report?r=622469107","CVD"
"6554","Round Diamond","ROUND","1306.62","1806.62","3.57","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.69-9.77*6.07","62.3","59","ROU39","IGI","620453084","https://mglgd.com/Media/viewer3/Vision360.html?d=L15621","https://www.igi.org/reports/verify-your-report?r=620453084","CVD"
"6555","Round Diamond","ROUND","1288.32","1788.32","3.52","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.60-9.65*6.02","62.5","62","ROU25","IGI","622469115","https://mglgd.com/Media/viewer3/Vision360.html?d=L19700","https://www.igi.org/reports/verify-your-report?r=622469115","CVD"
"6556","Round Diamond","ROUND","1284.66","1784.66","3.51","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.69-9.75*5.86","60.3","62","ROU37","IGI","621479504","https://mglgd.com/Media/viewer3/Vision360.html?d=L18139","https://www.igi.org/reports/verify-your-report?r=621479504","CVD"
"6557","Round Diamond","ROUND","1281","1781","3.5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.76-9.82*5.78","59","62","ROU83","IGI","621424033","https://mglgd.com/Media/viewer3/Vision360.html?d=L18699","https://www.igi.org/reports/verify-your-report?r=621424033","CVD"
"6558","Round Diamond","ROUND","1281","1781","3.5","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.64-9.68*6.06","62.7","56","ROU17","IGI","622469175","https://mglgd.com/Media/viewer3/Vision360.html?d=L19726","https://www.igi.org/reports/verify-your-report?r=622469175","CVD"
"6559","Round Diamond","ROUND","1593.44","2093.44","3.53","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.63-9.67*5.97","61.8","61","ROU10","IGI","634417295","https://mglgd.com/Media/viewer3/Vision360.html?d=L32387","https://www.igi.org/reports/verify-your-report?r=634417295","CVD"
"6560","Round Diamond","ROUND","1488.4","1988.4","3.05","IDEAL","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.19-9.26*5.75","62.3","58","ROU58","IGI","625410635","https://mglgd.com/Media/viewer3/Vision360.html?d=Y03669","https://www.igi.org/reports/verify-your-report?r=625410635","CVD"
"6561","Round Diamond","ROUND","1127.28","1627.28","3.08","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.39-9.44*5.61","59.6","58","ROU58","IGI","619441621","https://mglgd.com/Media/viewer3/Vision360.html?d=L14978","https://www.igi.org/reports/verify-your-report?r=619441621","CVD"
"6562","Round Diamond","ROUND","1116.3","1616.3","3.05","IDEAL","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.40-9.45*5.58","59.2","61","ROU83","IGI","622491733","https://mglgd.com/Media/viewer3/Vision360.html?d=L20432","https://www.igi.org/reports/verify-your-report?r=622491733","CVD"
"6563","Round Diamond","ROUND","1112.64","1612.64","3.04","EXCELLENT","E","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.18-9.22*5.76","62.6","59","ROU55","IGI","620453120","https://mglgd.com/Media/viewer3/Vision360.html?d=L16182","https://www.igi.org/reports/verify-your-report?r=620453120","CVD"
"6564","Round Diamond","ROUND","1399.34","1899.34","3.1","IDEAL","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.30-9.35*5.73","61.5","58","ROU94","IGI","634417282","https://mglgd.com/Media/viewer3/Vision360.html?d=L32352","https://www.igi.org/reports/verify-your-report?r=634417282","CVD"
"6565","Round Diamond","ROUND","1372.26","1872.26","3.04","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.26-9.31*5.58","60.1","63","ROU61","IGI","634495580","https://mglgd.com/Media/viewer3/Vision360.html?d=L32067","https://www.igi.org/reports/verify-your-report?r=634495580","CVD"
"6566","Round Diamond","ROUND","1372.26","1872.26","3.04","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.18-9.23*5.72","62.1","60","ROU32","IGI","634495581","https://mglgd.com/Media/viewer3/Vision360.html?d=L32068","https://www.igi.org/reports/verify-your-report?r=634495581","CVD"
"6567","Round Diamond","ROUND","1358.71","1858.71","3.01","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.26-9.35*5.61","60.4","62","ROU50","IGI","633435049","https://mglgd.com/Media/viewer3/Vision360.html?d=L31633","https://www.igi.org/reports/verify-your-report?r=633435049","CVD"
"6568","Round Diamond","ROUND","1358.71","1858.71","3.01","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.16-9.23*5.69","61.9","60","ROU42","IGI","633434993","https://mglgd.com/Media/viewer3/Vision360.html?d=L31942","https://www.igi.org/reports/verify-your-report?r=633434993","CVD"
"6569","Round Diamond","ROUND","1354.2","1854.2","3","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.09-9.16*5.76","63.3","60","ROU17","IGI","633434989","https://mglgd.com/Media/viewer3/Vision360.html?d=L31938","https://www.igi.org/reports/verify-your-report?r=633434989","CVD"
